id,zoho_name,cmrr_name,install_name,domain
59,Archian Foods (Lahori Zeera),Archian Foods Private Limited (Lahori Zeera),Archian Foods Private Limited,lahorizeera
60,Archian Foods (Lahori Zeera),Archian Foods Private Limited (Lahori Zeera),Archian Foods Private Limited,lahorizeera
61,Arora Foods India (FunTop),Arora Foods India,ARORA FOODS INDIA,funtop
62,Arora Foods India (FunTop),Arora Foods India,ARORA FOODS INDIA,funtop
63,Aruna Industries,Aruna Industries,Aruna Industries,arunasales
64,Aruna Industries,Aruna Industries,Aruna Industries,arunasales
65,Aryanveda Herbals,Aryanveda Cosmeceuticals,Aryanveda Herbals,aryanveda
66,Aryanveda Herbals,Aryanveda Cosmeceuticals,Aryanveda Herbals,aryanveda
67,Asha Bakers & Confectioners (Jyoti Prakash Chhabria),Asha Bakers & Confectioners (Jyoti Prakash Chhabria),ASHA BAKERS & CONFECTIONERS,ashabakers
68,Ashoka Foam Multi Plast Limited,Ashoka Foam Multi Plast Limited,ASHOKA FOAM MULTI PLAST LIMITED,ashokafoam
69,Asianlak Health Foods Ltd,Asianlak Health Foods Ltd,Asianlak Health Foods Ltd.,asianlak
70,Asianlak Health Foods Ltd,Asianlak Health Foods Ltd,ASIANLAK HEALTH FOODS LIMITED UNIT II,desichef
71,Asmita Super Markets Private Limited,Asmita Super Markets Private Limited,Asmita Super Markets Private Limited,asmitaorganicfarm
72,Astral Polytechnik Limited,Astral Limited,ASTRAL LIMITED,astral
73,Astral Polytechnik Limited,Astral Limited,ASTRAL LIMITED,astral
74,Astral Polytechnik Limited,Astral Limited,ASTRAL LIMITED,astral
75,Atlantic Lubricants And Specialities Private Limited,Motul India Private Limited,Motul India Private Limited,motul
76,Atlantic Lubricants And Specialities Private Limited,Motul India Private Limited,Motul India Private Limited,motul
77,Atul Limited,Atul Limited (Atulpolymers),Atul Polymers,atulpolymers
78,Atul Limited,Atul Limited (Atulpolymers),Atul Polymers,atulpolymers
79,Aussee Oats India Private Limited,Aussee Oats India Private Limited,Aussee Oats Milling Pvt Ltd,oateo
80,AV Organics LLP,AV Organics Private Limited,Evocus,evocus
81,A V Thomas & Company Limited,A V Thomas & Company Limited,AV Thomas & Co.Ltd.,avtcpd
82,A V Thomas & Company Limited,A V Thomas & Company Limited,AVT Dairy Sure,avtdairysure
83,Ava Naturals Private Limited,Ava Naturals Private Limited,AVA CARE,avacare
